ppn	spkr	id	var	dur	f	pool	list	def	s	o1	o2	o3	o4	cor	r	rt	i
ZRWDX	1	9	1	644	9_1_1.wav	2	3	41	m	41	178	167	146	1	1	1513	154
ZRWDX	32	2	1	581	2_32_1.wav	1	3	41	f	41	68	18	135	1	1	1984	155
ZRWDX	4	2	1	586	2_4_1.wav	1	2	32	f	32	49	139	89	1	1	837	156
ZRWDX	6	9	2	617	9_6_2.wav	2	2	4	m	4	179	42	9	1	1	1101	157
ZRWDX	56	10	2	535	10_56_2.wav	1	2	3	m	3	112	153	74	1	1	1343	158
ZRWDX	10	10	3	573	10_10_3.wav	1	1	21	m	20	53	73	21	1	4	1949	159
ZRWDX	41	4	1	720	4_41_1.wav	3	3	41	f	41	66	108	75	1	1	3093	160
ZRWDX	26	5	1	821	5_26_1.wav	2	1	40	f	80	40	145	174	1	2	836	161
ZRWDX	35	7	2	835	7_35_2.wav	3	2	17	m	24	114	17	76	1	3	1815	162
ZRWDX	25	9	2	562	9_25_2.wav	2	2	35	m	35	26	137	155	1	1	782	163
ZRWDX	9	4	3	720	4_9_3.wav	3	2	37	f	145	93	33	37	1	4	2490	164
ZRWDX	26	3	2	900	3_26_2.wav	3	1	40	f	40	41	114	119	1	1	1376	165
ZRWDX	14	11	2	553	11_14_2.wav	1	3	41	m	111	67	59	41	1	4	2357	166
ZRWDX	44	6	3	586	6_44_3.wav	1	3	41	f	19	41	121	162	0	2	3155	167
ZRWDX	21	1	1	710	1_21_1.wav	2	3	41	f	113	75	41	139	1	3	2576	168
ZRWDX	34	10	1	684	10_34_1.wav	1	3	41	m	61	141	41	24	1	3	2259	169
ZRWDX	27	10	2	660	10_27_2.wav	1	3	41	m	104	96	168	41	1	4	2225	170
ZRWDX	44	3	1	715	3_44_1.wav	3	3	41	f	153	131	41	96	1	3	2240	171
ZRWDX	5	1	2	910	1_5_2.wav	2	2	25	f	25	164	44	22	1	1	1674	172
ZRWDX	40	11	3	500	11_40_3.wav	1	1	34	m	34	163	80	78	0	1	1514	173
ZRWDX	2	10	2	720	10_2_2.wav	1	2	26	m	69	177	26	109	1	3	2199	174
ZRWDX	57	10	3	561	10_57_3.wav	1	2	10	m	129	146	10	127	1	3	3039	175
ZRWDX	23	6	2	449	6_23_2.wav	1	3	41	f	127	41	79	61	1	2	1687	176
ZRWDX	60	5	1	625	5_60_1.wav	2	2	28	f	28	93	66	42	1	1	890	177
ZRWDX	2	12	3	746	12_2_3.wav	3	2	26	m	67	26	171	138	1	2	1178	178
ZRWDX	13	6	3	491	6_13_3.wav	1	2	30	f	47	30	78	101	1	2	1370	179
